ID,Business Name,Category,City,Country,Phone,Email,Lead Score,Status,WhatsApp Direct Link,Email Subject,WhatsApp Pitch
"APX-0001","Infosys Bangalore Campus & Development Center","Tech Enterprise / IT Park","Bangalore","India","+91 80 2852 0261","events@infosys.com","98","Ready for Outreach","https://wa.me/918028520261?text=Hi%20Infosys%20Bangalore%20Campus%20%26%20Development%20Center%20Leadership!%20%F0%9F%91%8B%20I%20am%20Ismail%20Kazia%2C%20Founder%20of%20GALICON.%20We%20deliver%20turnkey%20corporate%20event%20production%20across%20Bangalore%20(The%20Leela%20Palace%2C%20ITC%20Gardenia%2C%20BIEC)%20with%20curved%204K%20LED%20staging%2C%20concert%20sound%20%26%20VIP%20protocol.%20Planning%20any%20tech%20summit%20or%20team%20conclave%20this%20quarter%3F%20Let's%20connect!","Exclusive Corporate Summit & Staging Production for Infosys Bangalore Campus & Development Center (Bangalore)","Hi Infosys Bangalore Campus & Development Center Leadership! 👋 I am Ismail Kazia, Founder of GALICON. We deliver turnkey corporate event production across Bangalore (The Leela Palace, ITC Gardenia, BIEC) with curved 4K LED staging, concert sound & VIP protocol. Planning any tech summit or team conclave this quarter? Let's connect!"
"APX-0002","Wipro Technologies Corporate HQ","Tech Enterprise / IT Park","Bangalore","India","+91 80 2844 0011","corporate.events@wipro.com","96","Ready for Outreach","https://wa.me/918028440011?text=Hi%20Wipro%20Technologies%20Corporate%20HQ%20Leadership!%20%F0%9F%91%8B%20I%20am%20Ismail%20Kazia%2C%20Founder%20of%20GALICON.%20We%20deliver%20turnkey%20corporate%20event%20production%20across%20Bangalore%20(The%20Leela%20Palace%2C%20ITC%20Gardenia%2C%20BIEC)%20with%20curved%204K%20LED%20staging%2C%20concert%20sound%20%26%20VIP%20protocol.%20Planning%20any%20tech%20summit%20or%20team%20conclave%20this%20quarter%3F%20Let's%20connect!","Exclusive Corporate Summit & Staging Production for Wipro Technologies Corporate HQ (Bangalore)","Hi Wipro Technologies Corporate HQ Leadership! 👋 I am Ismail Kazia, Founder of GALICON. We deliver turnkey corporate event production across Bangalore (The Leela Palace, ITC Gardenia, BIEC) with curved 4K LED staging, concert sound & VIP protocol. Planning any tech summit or team conclave this quarter? Let's connect!"
"APX-0003","Razorpay Software Private Limited","Unicorn Tech Startup","Bangalore","India","+91 80 4666 9555","partnerships@razorpay.com","97","Ready for Outreach","https://wa.me/918046669555?text=Hi%20Razorpay%20Software%20Private%20Limited%20Leadership!%20%F0%9F%91%8B%20I%20am%20Ismail%20Kazia%2C%20Founder%20of%20GALICON.%20We%20deliver%20turnkey%20corporate%20event%20production%20across%20Bangalore%20(The%20Leela%20Palace%2C%20ITC%20Gardenia%2C%20BIEC)%20with%20curved%204K%20LED%20staging%2C%20concert%20sound%20%26%20VIP%20protocol.%20Planning%20any%20tech%20summit%20or%20team%20conclave%20this%20quarter%3F%20Let's%20connect!","Exclusive Corporate Summit & Staging Production for Razorpay Software Private Limited (Bangalore)","Hi Razorpay Software Private Limited Leadership! 👋 I am Ismail Kazia, Founder of GALICON. We deliver turnkey corporate event production across Bangalore (The Leela Palace, ITC Gardenia, BIEC) with curved 4K LED staging, concert sound & VIP protocol. Planning any tech summit or team conclave this quarter? Let's connect!"
"APX-0004","Swiggy HQ (Bundl Technologies)","Unicorn Tech Startup","Bangalore","India","+91 80 6746 6777","brand@swiggy.in","95","Ready for Outreach","https://wa.me/918067466777?text=Hi%20Swiggy%20HQ%20(Bundl%20Technologies)%20Leadership!%20%F0%9F%91%8B%20I%20am%20Ismail%20Kazia%2C%20Founder%20of%20GALICON.%20We%20deliver%20turnkey%20corporate%20event%20production%20across%20Bangalore%20(The%20Leela%20Palace%2C%20ITC%20Gardenia%2C%20BIEC)%20with%20curved%204K%20LED%20staging%2C%20concert%20sound%20%26%20VIP%20protocol.%20Planning%20any%20tech%20summit%20or%20team%20conclave%20this%20quarter%3F%20Let's%20connect!","Exclusive Corporate Summit & Staging Production for Swiggy HQ (Bundl Technologies) (Bangalore)","Hi Swiggy HQ (Bundl Technologies) Leadership! 👋 I am Ismail Kazia, Founder of GALICON. We deliver turnkey corporate event production across Bangalore (The Leela Palace, ITC Gardenia, BIEC) with curved 4K LED staging, concert sound & VIP protocol. Planning any tech summit or team conclave this quarter? Let's connect!"
"APX-0005","Zerodha Broking Limited","Fintech Unicorn","Bangalore","India","+91 80 4718 1888","press@zerodha.com","94","Ready for Outreach","https://wa.me/918047181888?text=Hi%20Zerodha%20Broking%20Limited%20Leadership!%20%F0%9F%91%8B%20I%20am%20Ismail%20Kazia%2C%20Founder%20of%20GALICON.%20We%20deliver%20turnkey%20corporate%20event%20production%20across%20Bangalore%20(The%20Leela%20Palace%2C%20ITC%20Gardenia%2C%20BIEC)%20with%20curved%204K%20LED%20staging%2C%20concert%20sound%20%26%20VIP%20protocol.%20Planning%20any%20tech%20summit%20or%20team%20conclave%20this%20quarter%3F%20Let's%20connect!","Exclusive Corporate Summit & Staging Production for Zerodha Broking Limited (Bangalore)","Hi Zerodha Broking Limited Leadership! 👋 I am Ismail Kazia, Founder of GALICON. We deliver turnkey corporate event production across Bangalore (The Leela Palace, ITC Gardenia, BIEC) with curved 4K LED staging, concert sound & VIP protocol. Planning any tech summit or team conclave this quarter? Let's connect!"
"APX-0006","The Leela Palace Bengaluru","Luxury 5-Star Hotel & Venue","Bangalore","India","+91 80 2521 1234","banquets.tlpb@theleela.com","99","Ready for Outreach","https://wa.me/918025211234?text=Hi%20The%20Leela%20Palace%20Bengaluru%20Leadership!%20%F0%9F%91%8B%20I%20am%20Ismail%20Kazia%2C%20Founder%20of%20GALICON.%20We%20deliver%20turnkey%20corporate%20event%20production%20across%20Bangalore%20(The%20Leela%20Palace%2C%20ITC%20Gardenia%2C%20BIEC)%20with%20curved%204K%20LED%20staging%2C%20concert%20sound%20%26%20VIP%20protocol.%20Planning%20any%20tech%20summit%20or%20team%20conclave%20this%20quarter%3F%20Let's%20connect!","Exclusive Corporate Summit & Staging Production for The Leela Palace Bengaluru (Bangalore)","Hi The Leela Palace Bengaluru Leadership! 👋 I am Ismail Kazia, Founder of GALICON. We deliver turnkey corporate event production across Bangalore (The Leela Palace, ITC Gardenia, BIEC) with curved 4K LED staging, concert sound & VIP protocol. Planning any tech summit or team conclave this quarter? Let's connect!"
"APX-0007","ITC Gardenia, a Luxury Collection Hotel","Luxury 5-Star Hotel & Venue","Bangalore","India","+91 80 2211 9898","events.itcgardenia@itchotels.in","98","Ready for Outreach","https://wa.me/918022119898?text=Hi%20ITC%20Gardenia%2C%20a%20Luxury%20Collection%20Hotel%20Leadership!%20%F0%9F%91%8B%20I%20am%20Ismail%20Kazia%2C%20Founder%20of%20GALICON.%20We%20deliver%20turnkey%20corporate%20event%20production%20across%20Bangalore%20(The%20Leela%20Palace%2C%20ITC%20Gardenia%2C%20BIEC)%20with%20curved%204K%20LED%20staging%2C%20concert%20sound%20%26%20VIP%20protocol.%20Planning%20any%20tech%20summit%20or%20team%20conclave%20this%20quarter%3F%20Let's%20connect!","Exclusive Corporate Summit & Staging Production for ITC Gardenia, a Luxury Collection Hotel (Bangalore)","Hi ITC Gardenia, a Luxury Collection Hotel Leadership! 👋 I am Ismail Kazia, Founder of GALICON. We deliver turnkey corporate event production across Bangalore (The Leela Palace, ITC Gardenia, BIEC) with curved 4K LED staging, concert sound & VIP protocol. Planning any tech summit or team conclave this quarter? Let's connect!"
"APX-0008","Taj West End, Bengaluru","Luxury 5-Star Hotel & Venue","Bangalore","India","+91 80 6660 5660","westend.bengaluru@tajhotels.com","97","Ready for Outreach","https://wa.me/918066605660?text=Hi%20Taj%20West%20End%2C%20Bengaluru%20Leadership!%20%F0%9F%91%8B%20I%20am%20Ismail%20Kazia%2C%20Founder%20of%20GALICON.%20We%20deliver%20turnkey%20corporate%20event%20production%20across%20Bangalore%20(The%20Leela%20Palace%2C%20ITC%20Gardenia%2C%20BIEC)%20with%20curved%204K%20LED%20staging%2C%20concert%20sound%20%26%20VIP%20protocol.%20Planning%20any%20tech%20summit%20or%20team%20conclave%20this%20quarter%3F%20Let's%20connect!","Exclusive Corporate Summit & Staging Production for Taj West End, Bengaluru (Bangalore)","Hi Taj West End, Bengaluru Leadership! 👋 I am Ismail Kazia, Founder of GALICON. We deliver turnkey corporate event production across Bangalore (The Leela Palace, ITC Gardenia, BIEC) with curved 4K LED staging, concert sound & VIP protocol. Planning any tech summit or team conclave this quarter? Let's connect!"
"APX-0009","WeWork Galaxy Bangalore","Coworking & Startup Summit Space","Bangalore","India","+91 80 4567 8900","galaxy.events@wework.co.in","92","Ready for Outreach","https://wa.me/918045678900?text=Hi%20WeWork%20Galaxy%20Bangalore%20Leadership!%20%F0%9F%91%8B%20I%20am%20Ismail%20Kazia%2C%20Founder%20of%20GALICON.%20We%20deliver%20turnkey%20corporate%20event%20production%20across%20Bangalore%20(The%20Leela%20Palace%2C%20ITC%20Gardenia%2C%20BIEC)%20with%20curved%204K%20LED%20staging%2C%20concert%20sound%20%26%20VIP%20protocol.%20Planning%20any%20tech%20summit%20or%20team%20conclave%20this%20quarter%3F%20Let's%20connect!","Exclusive Corporate Summit & Staging Production for WeWork Galaxy Bangalore (Bangalore)","Hi WeWork Galaxy Bangalore Leadership! 👋 I am Ismail Kazia, Founder of GALICON. We deliver turnkey corporate event production across Bangalore (The Leela Palace, ITC Gardenia, BIEC) with curved 4K LED staging, concert sound & VIP protocol. Planning any tech summit or team conclave this quarter? Let's connect!"
"APX-0010","91springboard Koramangala 7th Block","Coworking & Startup Summit Space","Bangalore","India","+91 80 4709 1191","blr.events@91springboard.com","90","Ready for Outreach","https://wa.me/918047091191?text=Hi%2091springboard%20Koramangala%207th%20Block%20Leadership!%20%F0%9F%91%8B%20I%20am%20Ismail%20Kazia%2C%20Founder%20of%20GALICON.%20We%20deliver%20turnkey%20corporate%20event%20production%20across%20Bangalore%20(The%20Leela%20Palace%2C%20ITC%20Gardenia%2C%20BIEC)%20with%20curved%204K%20LED%20staging%2C%20concert%20sound%20%26%20VIP%20protocol.%20Planning%20any%20tech%20summit%20or%20team%20conclave%20this%20quarter%3F%20Let's%20connect!","Exclusive Corporate Summit & Staging Production for 91springboard Koramangala 7th Block (Bangalore)","Hi 91springboard Koramangala 7th Block Leadership! 👋 I am Ismail Kazia, Founder of GALICON. We deliver turnkey corporate event production across Bangalore (The Leela Palace, ITC Gardenia, BIEC) with curved 4K LED staging, concert sound & VIP protocol. Planning any tech summit or team conclave this quarter? Let's connect!"
